Er[eV],Seccion_ef[cm2/eV]
103.150618267634,1.0186575464457551e-13
103.40539738505204,1.1259047926765079e-13
103.91684506593388,1.2781168423465438e-13
104.43082238972504,1.4316717054875593e-13
105.20655884218031,1.6803732675468374e-13
107.30347727722862,1.8450372730504366e-13
111.07415331145036,1.7261278493338438e-13
114.41144792556832,1.920799417560428e-13
116.69183307432668,2.0672232787833676e-13
119.90176053579698,2.095178286967117e-13
123.50428630556245,2.0675974524124203e-13
126.90160889255974,2.0133142563766777e-13
131.36096908756153,1.934511856402451e-13
136.31289195779902,1.8219675241068707e-13
141.4514877818304,1.7274594841860321e-13
147.50979273400418,1.637879487046247e-13
154.58841021384407,1.5633666928587994e-13
159.23311875701995,1.5122091103970005e-13
164.42249886902476,1.4242107221214277e-13
170.62074434625168,1.3060249545310472e-13
177.05264548046176,1.173909698534657e-13
182.8227609213085,1.0764778050603749e-13
188.31578875155492,9.87124774296003e-14
193.9738581476973,9.112489196080717e-14
200.7901570854605,8.300663917623448e-14
207.84598279065796,7.662749701350031e-14
215.1497523049785,7.02681381651804e-14
221.6140654524568,6.61785778249663e-14
229.40164947724173,6.191348428648183e-14
238.63739350715733,5.6776143120570383e-14
248.85812801854027,5.2414077795776444e-14
260.8001927611086,4.7428876500291086e-14
271.3000467455204,4.349341199678427e-14
282.2226263902429,3.961923791395306e-14
295.7657680308435,3.5140423974852757e-14
