masa[MeV/c2]\Rate[day⁻¹kg⁻¹],1e,2e,3e,4e,5e,6e,7e
55.106828397522186,0.0,6429118955.02757,135138541537.37701,428517851141.46136,400663570910.2876,103269125692.50941,6538613124.710186
57.60370694222252,0.0,6430766088.74939,135173163893.94576,428627636978.0519,400766220508.68,103295583137.22942,6540288310.726649
60.21371851686271,0.0,6432374777.541812,135206978147.30084,428734860358.0057,400866474213.82434,103321423051.8844,6541924397.059051
62.94198915470152,0.0,6433902096.440697,135239082024.9708,428836660218.47437,400961656936.0957,103345955944.87407,6543477727.689224
65.79387714846243,0.0,6435498617.83046,135272640522.43445,428943072608.7301,401061152367.0455,103371600417.9696,6545101439.396227
68.77498357396004,0.0,6437167477.261081,135307719548.20189,429054306521.5057,401165155914.57623,103398406836.62662,6546798721.131515
71.89116329054963,0.0,6438719543.902311,135340343617.49219,429157755884.7203,401261880919.52875,103423337245.62628,6548377220.982232
75.14853644000483,0.0,6440277873.995642,135373099343.04645,429261622723.64996,401358996263.6714,103448368262.6916,6549962090.957754
78.55350046640703,0.0,6441906811.690402,135407339223.48186,429370195746.7167,401460511883.1735,103474533429.75764,6551618771.051063
82.11274268065318,0.0,6430340166.160521,135164211103.07811,428599248106.4488,400739676954.79944,103288741662.733,6539855134.260454
85.83325339425912,0.0,6385071505.507579,134212674691.82455,425581971661.14655,397918527843.3259,102561603925.88269,6493815504.141009
89.72233964825215,0.0,6337751731.574874,133218024370.39236,422427983068.93274,394969553072.262,101801519734.53699,6445689828.281062
93.7876395641172,0.0,6288287908.860769,132178306656.78241,419131087931.8293,391886960888.4592,101006996291.92741,6395383588.396689
98.03713734498145,0.0,6246917521.6431465,131308711020.03436,416373641763.0159,389308752709.62427,100342475422.51909,6353308623.113311
102.47917895649856,0.0,6204452390.577265,130416104129.63782,413543228009.57904,386662319944.72363,99660369991.23567,6310120269.425631
107.1224885182315,0.0,6160063173.554353,129483053412.98068,410584568817.6169,383895977880.32556,98947358509.53857,6264975060.719443
111.97618543772454,0.0,6131227120.817148,128876926486.74712,408662569327.36237,382098911137.3606,98484173122.01894,6235647901.864359
117.04980232091675,0.0,6132685611.239981,128907583606.3255,408759781587.12524,382189804459.60864,98507600442.59744,6237131231.802366
122.3533036940725,0.0,6134210185.550247,128939629793.39963,408861398513.47406,382284816138.74255,98532089250.03368,6238681771.100897
127.8971055739984,0.0,6135803837.994669,128973127986.31892,408967619680.90405,382384132776.62695,98557687640.06886,6240302565.001619
133.69209592498282,0.0,6068681893.6087,127562240781.8787,404493763842.5052,378201084039.74005,97479526766.08165,6172037468.401571
139.7496560426345,0.0,5990552948.43179,125919989055.4886,399286262171.84827,373332077511.0063,96224563540.77254,6092577911.045889
146.0816829066193,0.0,5908883997.549502,124203327256.52008,393842809720.29755,368242457343.4707,94912738201.58775,6009518058.23314
152.700612546193,0.0,5834081717.124121,122631001226.92453,388857039089.4244,363580769016.17206,93711210254.54387,5933441821.976045
159.6194444644227,0.0,5835451493.960671,122659793608.15408,388948338353.07916,363666133695.61285,93733212593.79034,5934834927.448825
166.85176716906471,0.0,5836883335.091136,122689890565.98573,389043774366.7374,363755366230.32263,93756211854.29678,5936291154.2310095
174.4117848602391,0.0,5838380052.635323,122721351210.50476,389143534565.6521,363848641871.9919,93780253206.35107,5937813362.335547
182.31434532731924,0.0,5819099993.483528,122316088982.07915,387858467424.19775,362647105953.7493,93470563050.3852,5918204944.9618845
190.57496910982212,0.0,5781543884.418732,121526668559.10402,385355253023.2423,360306604110.0821,92867309855.87071,5880009218.710453
199.2098799795729,0.0,5742286116.12815,120701479666.51826,382738618516.0625,357860054631.1722,92236723388.83435,5840082852.3160515
208.23603680400907,0.0,5701249586.798187,119838901642.65535,380003424862.03485,355302652521.4708,91577565184.57582,5798347430.845956
217.67116685320545,0.0,5617411623.190929,118076647715.39081,374415401952.4629,350077859184.82526,90230899605.33788,5713081624.904894
227.53380061603147,0.0,5523882789.686502,116110694022.52962,368181456829.7423,344249129513.2965,88728572314.36603,5617959904.095444
237.8433081938228,0.0,5426116184.848125,114055663390.59712,361665052994.0384,338156301353.74164,87158174896.89577,5518528238.57078
248.6199373430412,0.0,5323919796.16793,111907519762.63882,354853392301.80493,331787408460.45917,85516623110.13303,5414591345.662653
259.88485324163975,0.0,5190288402.62971,109098619856.96196,345946505058.8404,323459481773.2618,83370139700.46274,5278684079.08781
271.6601800572333,0.0,5030198020.865674,105733558352.09811,335276055987.6976,313482627327.9399,80798653020.53067,5115867201.897567
283.9690443987135,0.0,4877212828.287393,102517846223.19492,325079186643.9063,303948569242.59705,78341294991.85326,4960276522.198537
296.8356207366487,0.0,4794753690.272072,100784574879.83212,319583066121.56464,298809704505.0629,77016777099.46909,4876413024.594771
310.2851788816694,0.0,4708558346.445019,98972769384.61853,313837917560.22345,293437998911.3158,75632245586.20096,4788749689.948312
324.344133614092,0.0,4483158959.476427,94234928222.95604,298814449861.45703,279391078346.3753,72011718763.36601,4559511531.462855
339.0400965622494,0.0,3960768504.4235883,83254405899.02516,263995738802.92242,246835633876.45374,63620708122.43946,4028224257.183892
354.40193043141625,0.0,2660854365.4727926,55930521850.45687,177353009466.58066,165824807286.98615,42740553696.33363,2706171311.9209485
370.4598056898368,0.0,1479989459.6575718,31109024186.340824,98645227658.84268,92233145157.8262,23772653547.411533,1505195124.4084947
387.2452598231836,0.0,384130653.86064774,8074334397.240022,25603328154.506577,23939074785.909096,6170182423.652316,390672773.7511532
404.7912592738234,0.0,119803235.66952102,2518235337.234992,7985203799.775871,7466154001.151342,1924365607.366809,121843601.68338469
423.13226418653767,0.0,63675777.24616616,1338449596.0487156,4244159647.093118,3968283130.3014154,1022806062.5414835,64760237.87090106
442.3042960878576,0.0,40023650.33758709,841287549.889528,2667682579.443967,2494279352.6292152,642888614.4894179,40705292.160057105
462.34500863193546,0.0,27123392.922393687,570127226.8747092,1807846165.5590608,1690333549.51238,435675415.63678885,27585330.772321083
483.2937615518966,0.0,14911952.569883151,313445673.63972634,993921238.0839078,929314919.7717094,239526491.1152042,15165917.674029978
505.19169796191005,0.0,8213251.77718808,172640586.40266785,547435041.5762889,511850971.9376206,131927148.34734692,8353131.469884421
528.081825161801,0.0,6933486.334988761,145740223.13695025,462135276.38412315,432095814.8801847,111370636.75814041,7051570.373340811
552.0090991029012,0.0,5541037.978117918,116471291.97702962,369324895.695002,345318243.19818085,89004131.27085678,5635407.262126796
577.0205126810297,0.0,4002200.7234712928,84125301.2260412,266757306.2274077,249417695.42337984,64286222.17910676,4070362.1073537553
603.1651880300116,0.0,2052624.2408158756,43145670.218343884,136812856.47817364,127919822.88944598,32970724.636933926,2087582.4346976033
630.4944729969907,0.0,718674.2371123304,15106360.439621218,47901546.372427374,44787876.56238321,11543861.70849802,730913.9606911525
659.0620419890232,0.0,388364.94386237336,8163338.159541234,25885554.827452224,24202956.316835582,6238196.6304923985,394979.17784365517
688.9240013890094,0.0,188399.7958355355,3960118.612402417,12557346.695817595,11741100.99474914,3026212.819000422,191608.42820922247
720.1389997479912,0.0,66170.65354606886,1390891.2986900029,4410449.777727896,4123764.1618845644,1062880.5573523839,67297.60434882497
752.7683429702477,0.0,25446.26168327645,534874.3296726998,1696060.9147811562,1585814.5017469889,408736.12925139803,25879.63635156721
786.8761147173979,0.0,13440.797925052317,282522.3551463101,895864.87429448,837632.3614799178,215895.74870821394,13669.707829966204
822.5293022679883,0.0,5372.585407103243,112930.45925572138,358097.08450416784,334820.2559772445,86298.32510192019,5464.085779442703
