masa[MeV/c2]\Rate[day⁻¹kg⁻¹],1e,2e,3e,4e,5e,6e,7e
119.99171415657014,0.0,1801928511.5399013,37876105996.4047,120103320389.14645,112296430818.72952,28943869797.526943,1832617112.5097442
126.18520999949796,0.0,1660536535.5288954,34904080504.75113,110679169715.82582,103484863572.43823,26672730338.95859,1688817093.1694102
132.6983895058019,0.0,1511846467.1304047,31778650858.01057,100768581804.49593,94218478212.30319,24284363679.377056,1537594687.8063638
139.54775347684227,0.0,1413046684.8463824,29701903083.475742,94183313948.3948,88061262293.29778,22697370623.804092,1437112248.8159273
146.75065441982724,0.0,1322196299.4771523,27792249729.29329,88127894506.6139,82399453875.18687,21238066490.29273,1344714592.7271888
154.32534050948632,0.0,1229950672.6907454,25853268734.491833,81979478519.2574,76650693821.49442,19756350987.153637,1250897932.8983877
162.29100181887242,0.0,1153766232.5149746,24251890037.781895,76901583270.63905,71902869109.87425,18532621797.6085,1173415997.3615677
170.6678189364129,0.0,1073649454.037002,22567854531.21848,71561587231.69347,66909980538.46107,17245728566.266018,1091934751.9638734
179.47701409237973,0.0,1016807041.6605357,21373040629.071774,67772889499.44631,63367553639.65554,16332684917.605509,1034124257.8347665
188.74090492430653,0.0,979782122.6358243,20594785693.591656,65305080325.25941,61060155631.79872,15737964078.98611,996468768.3081659
198.4829610175616,0.0,940846124.3030444,19776360328.498837,62709892640.240326,58633658900.58344,15112546112.089283,956869651.927947
208.7278633643203,0.0,921355804.1049849,19366678463.209576,61410811041.69557,57419019485.23514,14799478592.200468,937047392.5572164
219.5015668915761,0.0,904064236.0278251,19003213841.20032,60258282110.88518,56341406602.210884,14521729007.899435,919461332.2016649
230.83136621659625,0.0,886486074.2535805,18633725088.27845,59086650949.10276,55245933160.86166,14239375949.82012,901583797.1786934
242.7459647964141,0.0,870603072.7613642,18299868198.725086,58028006721.68515,54256102339.69317,13984251773.560888,885430292.6715814
255.2755476465461,0.0,853900253.797527,17948778942.15274,56914719482.725075,53215180381.780754,13715959100.325024,868443008.4012849
268.4518578131548,0.0,839486542.0147187,17645806170.596596,55954007316.19854,52316915895.87395,13484435710.540728,853783817.0411438
282.3082767924057,0.0,827400897.6930352,17391768819.818604,55148467028.23454,51563736891.94671,13290307412.206028,841492342.4028434
296.8799091007533,0.0,796779595.8648525,16748116385.016415,53107475945.26419,49655413181.92931,12798446071.720173,810349529.9226208
312.2036712104022,0.0,758671396.5938779,15947091158.057743,50567463265.96874,47280505001.24781,12186324807.833466,771592310.8300405
328.3183850752722,0.0,702424771.3035179,14764800557.851234,46818476325.147606,43775207634.97877,11282851119.211266,714387750.6225171
345.26487648439706,0.0,630675715.384847,13256652576.555824,42036211215.60967,39303796675.73121,10130366256.850782,641416738.2649809
363.0860784919356,0.0,509172030.7165735,10702674208.39271,33937667974.454918,31731670460.8509,8178686816.497798,517843727.2770057
381.82714018583255,0.0,114756584.28322254,2412155933.0798335,7648831083.289491,7151645997.8435955,1843302668.5748014,116711000.89918491
401.5355410706823,0.0,16036570.291571617,337084868.9570286,1068879995.702895,999401249.7078398,257590908.59907255,16309688.732980983
422.26121135458186,0.0,14890673.027925411,312998382.7613232,992502900.1037288,927988775.8120531,239184683.83049154,15144275.720706983
444.0566584447176,0.0,13404664.977269443,281762849.23282796,893456517.3722278,835380551.2416143,215315355.35224524,13632959.502822122
466.9770999721479,0.0,11214786.624936162,235732130.44403163,747495309.8775007,698907033.3859742,180139956.6078241,11405785.385148061
491.08060368279615,0.0,7239793.154585808,152178719.1661655,482551439.3205793,451184897.691128,116290756.86708695,7363093.896986189
516.428234549067,0.0,1324094.7976848015,27832155.707186636,88254434.45369352,82517768.54264976,21268561.53190017,1346645.4242119703
543.0842094747746,0.0,144707.34102375223,3041713.6706436723,9645128.55550781,9018181.246462982,2324393.23231446,147171.84825455787
571.1160599853248,0.0,144746.002673711,3042526.3292716118,9647705.457145156,9020590.645766076,2325014.2435007505,147211.16835014347
600.5948033153262,0.0,144786.65988452974,3043380.9341111644,9650415.368213119,9023124.40869438,2325667.3088186774,147252.517992938
631.5951223270517,0.0,144829.41565913655,3044279.650259222,9653265.154130375,9025788.954404427,2326354.082775239,147296.00194010977
664.1955547155895,0.0,142816.07683099245,3001959.75001174,9519070.774730798,8900317.4037955,2294014.388649245,145248.37398699851
698.4786919800047,0.0,140486.92171752226,2953001.4670416377,9363826.401251148,8755164.139173267,2256601.8265465926,142879.55108903168
734.5313886646021,0.0,138037.54486529122,2901516.1518994947,9200568.929629331,8602518.639380101,2217258.176539375,140388.45895877402
772.4449824003996,0.0,137713.81448028592,2894711.4166959664,9178991.439789424,8582343.717594443,2212058.1866102023,140059.21512939865
812.3155253042604,0.0,137752.58230245736,2895526.307038404,9181575.418086693,8584759.733564328,2212680.9032108216,140098.64320541342
854.2440273219316,0.0,137375.17225872463,2887593.2382573825,9156420.03644407,8561239.488119015,2206618.672053414,139714.80550033902
898.3367121314895,0.0,135005.28768518244,2837778.831785719,8998460.936291866,8413547.957985153,2168551.8841134445,137304.5594798491
944.7052862554988,0.0,132513.0790798716,2785393.203446203,8832348.614585806,8258233.177493133,2128520.2397288685,134769.9061299592
993.4672220636712,0.0,130079.35211638342,2734236.845219422,8670134.249607628,8106562.980902778,2089427.969473522,132294.7304213218
1044.7460553830083,0.0,127800.72281378569,2686340.602699817,8518257.555595988,7964558.491711349,2052826.9892299406,129977.29383809233
1098.6716984693865,0.0,125404.47971416528,2635972.1463192618,8358541.589684529,7815224.294634116,2014336.8117148706,127540.24038010306
1155.380769133494,0.0,121270.2195859755,2549070.988016258,8082982.173443474,7557576.639081378,1947929.3565394327,123335.56976749786
1215.016936854957,0.0,115964.84174541233,2437553.215722161,7729364.651721649,7226944.76782535,1862710.5676360272,117939.8361650381
1277.7312867614755,0.0,106506.62133365926,2238743.6866211593,7098949.144586372,6637507.180632146,1710785.8390128352,108320.53302983503
1343.6827023951391,0.0,95700.53699202863,2011602.3803437448,6378694.92721685,5964070.529333336,1537210.751986789,97330.41052671077
1413.0382682356217,0.0,74292.7417765063,1561615.64916121,4951808.526824721,4629933.809144035,1193343.3713432157,75558.01966779532
1485.9736929999997,0.0,56130.267585049514,1179844.789092687,3741231.3907695455,3498045.938190214,901604.6675978494,57086.220816943285
