dphi_dEdCth(1/GeV/s/cm2),Energy (GeV),cosTh,m(GeV),eps2
4.202167294798321e-24,20277.96616676245,0.6,0.01,5e-09
1.5335171927345334e-24,29100.250794217685,0.6,0.01,5e-09
5.584459626915351e-25,41760.82499212353,0.6,0.01,5e-09
1.9981388569879654e-25,59929.60391837234,0.6,0.01,5e-09
7.041389847338456e-26,86003.02859175787,0.6,0.01,5e-09
2.4306654584247902e-26,123420.15370282115,0.6,0.01,5e-09
8.27884305405422e-27,177116.25496741914,0.6,0.01,5e-09
2.7445722782132466e-27,254173.78631061214,0.6,0.01,5e-09
8.810241128726325e-28,364756.5473838464,0.6,0.01,5e-09
2.7379833179360495e-28,523450.2770352337,0.6,0.01,5e-09
8.303314022412984e-29,751186.4954679541,0.6,0.01,5e-09
2.4406131542442946e-29,1078003.347652151,0.6,0.01,5e-09
6.995394549358394e-30,1547007.6000571782,0.6,0.01,5e-09
1.9805450700823776e-30,2220060.3735109367,0.6,0.01,5e-09
5.650422022030983e-31,3185936.5538031906,0.6,0.01,5e-09
1.6411174613737756e-31,4572034.096895864,0.6,0.01,5e-09
4.8115406854762736e-32,6561177.67261403,0.6,0.01,5e-09
1.857361601765633e-11,0.13497,0.8,0.01,5e-09
1.1219658596957151e-11,0.19369106435010147,0.8,0.01,5e-09
7.076706015183497e-12,0.2779597570502715,0.8,0.01,5e-09
4.366389649845264e-12,0.3988910216311973,0.8,0.01,5e-09
2.552548279421204e-12,0.5724355526372227,0.8,0.01,5e-09
1.3658136220784927e-12,0.8214836738693203,0.8,0.01,5e-09
6.587752087082817e-13,1.1788845457359436,0.8,0.01,5e-09
3.094589372283748e-13,1.6917789316846765,0.8,0.01,5e-09
1.371219308063936e-13,2.4278170106177854,0.8,0.01,5e-09
5.4357332176527736e-14,3.484081357589393,0.8,0.01,5e-09
2.0640062568709257e-14,4.999892023663302,0.8,0.01,5e-09
8.087241497260166e-15,7.175182690219515,0.8,0.01,5e-09
3.231501174785489e-15,10.29687169130208,0.8,0.01,5e-09
1.290519305064108e-15,14.776706211489447,0.8,0.01,5e-09
5.128034443825486e-16,21.20557126540821,0.8,0.01,5e-09
2.002036035699858e-16,30.43142675075086,0.8,0.01,5e-09
7.657187778929362e-17,43.671152382344836,0.8,0.01,5e-09
2.8884110401580805e-17,62.671052725285904,0.8,0.01,5e-09
1.0820896501622222e-17,89.9371927561825,0.8,0.01,5e-09
4.0657315032944024e-18,129.06594494780484,0.8,0.01,5e-09
1.5293466264654143e-18,185.218346656975,0.8,0.01,5e-09
5.800690673352515e-19,265.80083500893215,0.8,0.01,5e-09
2.186198345159918e-19,381.44214742554476,0.8,0.01,5e-09
8.30771356297531e-20,547.3952398521305,0.8,0.01,5e-09
3.1466132160720324e-20,785.5491340826719,0.8,0.01,5e-09
1.1970877793762797e-20,1127.3160545289566,0.8,0.01,5e-09
4.5143937167784536e-21,1617.7746644489202,0.8,0.01,5e-09
1.7142257444443897e-21,2321.61588972171,0.8,0.01,5e-09
6.453476229876215e-22,3331.6755774787453,0.8,0.01,5e-09
2.4365039307674405e-22,4781.179437438663,0.8,0.01,5e-09
9.102713987228513e-23,6861.31535960817,0.8,0.01,5e-09
3.411539197819277e-23,9846.450876818582,0.8,0.01,5e-09
1.2653776863139256e-23,14130.321926368679,0.8,0.01,5e-09
4.676982008060122e-24,20277.96616676245,0.8,0.01,5e-09
1.7039186872411106e-24,29100.250794217685,0.8,0.01,5e-09
6.183696218564131e-25,41760.82499212353,0.8,0.01,5e-09
2.210057768439019e-25,59929.60391837234,0.8,0.01,5e-09
7.774433909680473e-26,86003.02859175787,0.8,0.01,5e-09
2.680102231178851e-26,123420.15370282115,0.8,0.01,5e-09
9.116696136271296e-27,177116.25496741914,0.8,0.01,5e-09
3.0190826228794766e-27,254173.78631061214,0.8,0.01,5e-09
9.679470106847579e-28,364756.5473838464,0.8,0.01,5e-09
3.005218397067796e-28,523450.2770352337,0.8,0.01,5e-09
9.105768292581411e-29,751186.4954679541,0.8,0.01,5e-09
2.674806650602128e-29,1078003.347652151,0.8,0.01,5e-09
7.659406370673103e-30,1547007.6000571782,0.8,0.01,5e-09
2.1670211076473582e-30,2220060.3735109367,0.8,0.01,5e-09
6.178363597179065e-31,3185936.5538031906,0.8,0.01,5e-09
1.7933029412727687e-31,4572034.096895864,0.8,0.01,5e-09
5.254766868855424e-32,6561177.67261403,0.8,0.01,5e-09
2.1085357610397796e-11,0.13497,1.0,0.01,5e-09
1.2734174247188938e-11,0.19369106435010147,1.0,0.01,5e-09
8.029455046545199e-12,0.2779597570502715,1.0,0.01,5e-09
4.951805668823498e-12,0.3988910216311973,1.0,0.01,5e-09
2.8924195238490033e-12,0.5724355526372227,1.0,0.01,5e-09
1.5455130442491309e-12,0.8214836738693203,1.0,0.01,5e-09
7.438949776407918e-13,1.1788845457359436,1.0,0.01,5e-09
3.4893447549447076e-13,1.6917789316846765,1.0,0.01,5e-09
1.5451725807628177e-13,2.4278170106177854,1.0,0.01,5e-09
6.123516747528472e-14,3.484081357589393,1.0,0.01,5e-09
2.326722115831605e-14,4.999892023663302,1.0,0.01,5e-09
9.126386364739107e-15,7.175182690219515,1.0,0.01,5e-09
3.649909946220129e-15,10.29687169130208,1.0,0.01,5e-09
1.4583293064853747e-15,14.776706211489447,1.0,0.01,5e-09
5.795447068953772e-16,21.20557126540821,1.0,0.01,5e-09
2.2620843191053894e-16,30.43142675075086,1.0,0.01,5e-09
8.647420409386056e-17,43.671152382344836,1.0,0.01,5e-09
3.259827059837088e-17,62.671052725285904,1.0,0.01,5e-09
1.220562867330502e-17,89.9371927561825,1.0,0.01,5e-09
4.5822686470501514e-18,129.06594494780484,1.0,0.01,5e-09
1.72192138475252e-18,185.218346656975,1.0,0.01,5e-09
6.523974173109298e-19,265.80083500893215,1.0,0.01,5e-09
2.459845755891701e-19,381.44214742554476,1.0,0.01,5e-09
9.333740530889588e-20,547.3952398521305,1.0,0.01,5e-09
3.523979667111499e-20,785.5491340826719,1.0,0.01,5e-09
1.3386640183294574e-20,1127.3160545289566,1.0,0.01,5e-09
5.041203717140104e-21,1617.7746644489202,1.0,0.01,5e-09
1.9108850051969828e-21,2321.61588972171,1.0,0.01,5e-09
7.181452170826415e-22,3331.6755774787453,1.0,0.01,5e-09
2.706505718511419e-22,4781.179437438663,1.0,0.01,5e-09
1.0093455179182023e-22,6861.31535960817,1.0,0.01,5e-09
3.775617144044376e-23,9846.450876818582,1.0,0.01,5e-09
1.3971377651134232e-23,14130.321926368679,1.0,0.01,5e-09
5.1559415287132705e-24,20277.96616676245,1.0,0.01,5e-09
