dphi_dEdCth(1/GeV/s/cm2),Energy (GeV),cosTh,m(GeV),eps2
1.1787344415006066e-22,980.3044303307337,1.0,0.01,5e-09
4.696653550004287e-23,1382.039018433766,1.0,0.01,5e-09
1.860559458570793e-23,1948.4068309565441,1.0,0.01,5e-09
7.446856402595389e-24,2746.8755427906613,1.0,0.01,5e-09
3.000340537854944e-24,3872.561483413205,1.0,0.01,5e-09
1.1902655548665343e-24,5459.56022003811,1.0,0.01,5e-09
4.63129958048908e-25,7696.920481156926,1.0,0.01,5e-09
1.7953639751428685e-25,10851.16428898726,1.0,0.01,5e-09
7.041332581312963e-26,15298.035976187428,1.0,0.01,5e-09
2.747223285969573e-26,21567.26213851904,1.0,0.01,5e-09
1.0584136727536837e-26,30405.654482420672,1.0,0.01,5e-09
3.971641433248776e-27,42866.07259496282,1.0,0.01,5e-09
1.4733980824772283e-27,60432.84418623487,1.0,0.01,5e-09
5.414508470300809e-28,85198.58329328035,1.0,0.01,5e-09
1.9655576784103336e-28,120113.46963602628,1.0,0.01,5e-09
7.007712548104148e-29,169336.68413641874,1.0,0.01,5e-09
2.3678211856839134e-29,238731.8648042508,1.0,0.01,5e-09
8.043768587835921e-30,336565.60339283146,1.0,0.01,5e-09
2.6139176418572054e-30,474492.1901400215,1.0,0.01,5e-09
8.436563565903326e-31,668941.9127631214,1.0,0.01,5e-09
2.6673614524599888e-31,943078.2886418686,1.0,0.01,5e-09
7.884929375841741e-32,1329557.382395053,1.0,0.01,5e-09
2.4160983634371322e-32,1874417.9082172392,1.0,0.01,5e-09
7.174087560237074e-33,2642565.5192981586,1.0,0.01,5e-09
2.269310320724657e-33,3725504.5916762734,1.0,0.01,5e-09
7.2238739620785995e-34,5252238.53911756,1.0,0.01,5e-09
2.3019134573286207e-34,7404637.141885661,1.0,0.01,5e-09
7.370287463492828e-35,10439101.498273656,1.0,0.01,5e-09
2.3766822562265773e-35,14717107.402174173,1.0,0.01,5e-09
8.309000543270963e-36,20748265.57850291,1.0,0.01,5e-09
7.775255214832799e-17,1.019,0.0,0.02,5e-09
7.10921992462386e-17,1.4365922627819576,0.0,0.02,5e-09
5.847750382275896e-17,2.0253163194160795,0.0,0.02,5e-09
4.017326337999561e-17,2.8553029972121413,0.0,0.02,5e-09
2.2576134162452533e-17,4.025423153771439,0.0,0.02,5e-09
1.145482100891803e-17,5.675065512395874,0.0,0.02,5e-09
6.058651952741751e-18,8.000741124522708,0.0,0.02,5e-09
3.1646525625651176e-18,11.279492439657256,0.0,0.02,5e-09
1.3954868917448088e-18,15.90189555144181,0.0,0.02,5e-09
5.791659029476836e-19,22.418586960518287,0.0,0.02,5e-09
2.4050801000752145e-19,31.605857281634012,0.0,0.02,5e-09
9.761020191942914e-20,44.55812564218471,0.0,0.02,5e-09
3.93421083169856e-20,62.81831063947881,0.0,0.02,5e-09
1.5635301457796555e-20,88.56162809196152,0.0,0.02,5e-09
6.2196435911730395e-21,124.85471020243885,0.0,0.02,5e-09
2.509521501470006e-21,176.02091329608157,0.0,0.02,5e-09
9.991482366916408e-22,248.15533084294873,0.0,0.02,5e-09
4.010577067822731e-22,349.8508618813319,0.0,0.02,5e-09
1.607840498880738e-22,493.22182660090334,0.0,0.02,5e-09
6.4835924108867e-23,695.3470656820822,0.0,0.02,5e-09
2.646353805503395e-23,980.3044303307337,0.0,0.02,5e-09
1.0604627964859098e-23,1382.039018433766,0.0,0.02,5e-09
4.286860266746368e-24,1948.4068309565441,0.0,0.02,5e-09
1.7183849278278943e-24,2746.8755427906613,0.0,0.02,5e-09
6.879187498748029e-25,3872.561483413205,0.0,0.02,5e-09
2.7845023935593356e-25,5459.56022003811,0.0,0.02,5e-09
1.0986479744193776e-25,7696.920481156926,0.0,0.02,5e-09
4.351212120513685e-26,10851.16428898726,0.0,0.02,5e-09
1.7080641333163817e-26,15298.035976187428,0.0,0.02,5e-09
6.643089832502722e-27,21567.26213851904,0.0,0.02,5e-09
2.607005714247405e-27,30405.654482420672,0.0,0.02,5e-09
9.916263224800834e-28,42866.07259496282,0.0,0.02,5e-09
3.7490223763133483e-28,60432.84418623487,0.0,0.02,5e-09
1.3811233954234882e-28,85198.58329328035,0.0,0.02,5e-09
5.02239703738948e-29,120113.46963602628,0.0,0.02,5e-09
1.8003875437305854e-29,169336.68413641874,0.0,0.02,5e-09
6.234716578124941e-30,238731.8648042508,0.0,0.02,5e-09
2.1159618934932457e-30,336565.60339283146,0.0,0.02,5e-09
6.9459832241772515e-31,474492.1901400215,0.0,0.02,5e-09
2.231711266103465e-31,668941.9127631214,0.0,0.02,5e-09
7.04003504310721e-32,943078.2886418686,0.0,0.02,5e-09
2.146017312943085e-32,1329557.382395053,0.0,0.02,5e-09
6.527981070459199e-33,1874417.9082172392,0.0,0.02,5e-09
1.998008303328652e-33,2642565.5192981586,0.0,0.02,5e-09
6.160443790110954e-34,3725504.5916762734,0.0,0.02,5e-09
1.948291695215586e-34,5252238.53911756,0.0,0.02,5e-09
6.329595375032191e-35,7404637.141885661,0.0,0.02,5e-09
2.027782169874075e-35,10439101.498273656,0.0,0.02,5e-09
6.692895605186366e-36,14717107.402174173,0.0,0.02,5e-09
2.300611419033969e-36,20748265.57850291,0.0,0.02,5e-09
1.84956295113712e-16,1.019,0.2,0.02,5e-09
1.6910416247617038e-16,1.4365922627819576,0.2,0.02,5e-09
1.3910816793724168e-16,2.0253163194160795,0.2,0.02,5e-09
