dphi_dEdCth(1/GeV/s/cm2),Energy (GeV),cosTh,m(GeV),eps2
4.4941067568737835e-23,1676.8223810061515,0.6,0.01,5e-09
1.7780429809872617e-23,2377.173833245434,0.6,0.01,5e-09
6.94163556042469e-24,3370.038173080696,0.6,0.01,5e-09
2.7061898273655692e-24,4777.588045597714,0.6,0.01,5e-09
1.0652457160377236e-24,6773.023438061691,0.6,0.01,5e-09
4.174842484693038e-25,9601.884058380307,0.6,0.01,5e-09
1.596274481924822e-25,13612.263166324245,0.6,0.01,5e-09
6.064982636958961e-26,19297.640690375494,0.6,0.01,5e-09
2.287449045084433e-26,27357.60627491569,0.6,0.01,5e-09
8.666416993890142e-27,38783.94427079287,0.6,0.01,5e-09
3.236294256308963e-27,54982.673487013606,0.6,0.01,5e-09
1.1650422384640894e-27,77947.05877958263,0.6,0.01,5e-09
4.155883680743472e-28,110502.88367339497,0.6,0.01,5e-09
1.4660980588445733e-28,156656.1649832815,0.6,0.01,5e-09
5.075200844460276e-29,222086.0959593013,0.6,0.01,5e-09
1.698136730949638e-29,314843.874951923,0.6,0.01,5e-09
5.4592644950682774e-30,446343.4109486418,0.6,0.01,5e-09
1.736922060737677e-30,632765.8129848948,0.6,0.01,5e-09
5.39683562114853e-31,897050.4868246074,0.6,0.01,5e-09
1.6512391127918845e-31,1271717.8447367798,0.6,0.01,5e-09
4.8372592247657625e-32,1802870.964762285,0.6,0.01,5e-09
1.4432369128067862e-32,2555868.6064168955,0.6,0.01,5e-09
4.3269894374026285e-33,3623367.6513442476,0.6,0.01,5e-09
1.3415706478355362e-33,5136724.596814592,0.6,0.01,5e-09
4.199708525961403e-34,7282159.063745853,0.6,0.01,5e-09
1.3074159753752206e-34,10323668.250110406,0.6,0.01,5e-09
4.21902158169321e-35,14635511.969099307,0.6,0.01,5e-09
1.420045029185044e-35,20748265.57850291,0.6,0.01,5e-09
2.0973589125815563e-14,0.7759999999999999,0.8,0.01,5e-09
1.1789204106595818e-14,1.100108702921523,0.8,0.01,5e-09
6.4573942577596104e-15,1.5595865441284484,0.8,0.01,5e-09
3.3427726393777035e-15,2.2109725904059383,0.8,0.01,5e-09
1.5204808122837632e-15,3.1344203461681928,0.8,0.01,5e-09
5.986643243621513e-16,4.443560697724126,0.8,0.01,5e-09
2.235649793858365e-16,6.299484272585499,0.8,0.01,5e-09
8.548083941887627e-17,8.930563752820321,0.8,0.01,5e-09
3.225383739299622e-17,12.660555291846817,0.8,0.01,5e-09
1.1816411413649567e-17,17.948436933479158,0.8,0.01,5e-09
4.201489818994986e-18,25.444886178297057,0.8,0.01,5e-09
1.4697912544183469e-18,36.07234630102085,0.8,0.01,5e-09
5.266468965462803e-19,51.13853363473202,0.8,0.01,5e-09
1.9878169087597592e-19,72.4973529719249,0.8,0.01,5e-09
7.752698448292239e-20,102.77702183400542,0.8,0.01,5e-09
3.116314594108867e-20,145.70347445869163,0.8,0.01,5e-09
1.2458307799201566e-20,206.55884059009097,0.8,0.01,5e-09
5.0839477855835836e-21,292.8314152043025,0.8,0.01,5e-09
2.0458398125611644e-21,415.1370983957204,0.8,0.01,5e-09
8.107459782334819e-22,588.5256892406197,0.8,0.01,5e-09
3.2124475319843687e-22,834.3327740032128,0.8,0.01,5e-09
1.277900933222729e-22,1182.8050848113287,0.8,0.01,5e-09
5.1194712764194334e-23,1676.8223810061515,0.8,0.01,5e-09
2.02060119744151e-23,2377.173833245434,0.8,0.01,5e-09
7.869367919092274e-24,3370.038173080696,0.8,0.01,5e-09
3.0634538553640343e-24,4777.588045597714,0.8,0.01,5e-09
1.201998366046953e-24,6773.023438061691,0.8,0.01,5e-09
4.700367469715347e-25,9601.884058380307,0.8,0.01,5e-09
1.796125444655281e-25,13612.263166324245,0.8,0.01,5e-09
6.809337870107287e-26,19297.640690375494,0.8,0.01,5e-09
2.5640909149823652e-26,27357.60627491569,0.8,0.01,5e-09
9.688700231843889e-27,38783.94427079287,0.8,0.01,5e-09
3.610783455531337e-27,54982.673487013606,0.8,0.01,5e-09
1.2972651891438372e-27,77947.05877958263,0.8,0.01,5e-09
4.61884685912189e-28,110502.88367339497,0.8,0.01,5e-09
1.6266161508729232e-28,156656.1649832815,0.8,0.01,5e-09
5.611378225247113e-29,222086.0959593013,0.8,0.01,5e-09
1.8728003765761286e-29,314843.874951923,0.8,0.01,5e-09
6.01913502955625e-30,446343.4109486418,0.8,0.01,5e-09
1.9128745672284946e-30,632765.8129848948,0.8,0.01,5e-09
5.93782161509745e-31,897050.4868246074,0.8,0.01,5e-09
1.8151861452145434e-31,1271717.8447367798,0.8,0.01,5e-09
5.31298584720789e-32,1802870.964762285,0.8,0.01,5e-09
1.5838739533243853e-32,2555868.6064168955,0.8,0.01,5e-09
4.745552034948735e-33,3623367.6513442476,0.8,0.01,5e-09
1.470446577577622e-33,5136724.596814592,0.8,0.01,5e-09
4.600244687792057e-34,7282159.063745853,0.8,0.01,5e-09
1.4312435442852085e-34,10323668.250110406,0.8,0.01,5e-09
4.615995225801484e-35,14635511.969099307,0.8,0.01,5e-09
1.5527249912255484e-35,20748265.57850291,0.8,0.01,5e-09
2.3587565830150595e-14,0.7759999999999999,1.0,0.01,5e-09
1.3263340720869208e-14,1.100108702921523,1.0,0.01,5e-09
7.26788180489888e-15,1.5595865441284484,1.0,0.01,5e-09
3.762999346592829e-15,2.2109725904059383,1.0,0.01,5e-09
1.711923130366565e-15,3.1344203461681928,1.0,0.01,5e-09
6.745214982546254e-16,4.443560697724126,1.0,0.01,5e-09
2.5219400398700525e-16,6.299484272585499,1.0,0.01,5e-09
9.65823901072233e-17,8.930563752820321,1.0,0.01,5e-09
3.6539051187485537e-17,12.660555291846817,1.0,0.01,5e-09
1.3406929814094788e-17,17.948436933479158,1.0,0.01,5e-09
4.780440389411108e-18,25.444886178297057,1.0,0.01,5e-09
1.6775686820401854e-18,36.07234630102085,1.0,0.01,5e-09
6.02968807335847e-19,51.13853363473202,1.0,0.01,5e-09
2.281294472555448e-19,72.4973529719249,1.0,0.01,5e-09
8.90999761343015e-20,102.77702183400542,1.0,0.01,5e-09
3.577257992264372e-20,145.70347445869163,1.0,0.01,5e-09
1.429671310281127e-20,206.55884059009097,1.0,0.01,5e-09
