eps2,mass,e,flux
5e-09,0.03,7.373636916997876,1.0452161721244095e-14
5e-09,0.03,8.844158127772937,6.845704445753522e-15
5e-09,0.03,10.607944745521664,3.99924402824342e-15
5e-09,0.03,12.723482563102534,2.5726850660358896e-15
5e-09,0.03,15.260921169665588,1.5143231538595757e-15
5e-09,0.03,18.30440005648556,9.574514758204255e-16
5e-09,0.03,21.954838617072213,5.627473363291805e-16
5e-09,0.03,26.333282555791758,3.5714419073473243e-16
5e-09,0.03,31.584917669307885,2.053069830525679e-16
5e-09,0.03,37.883884094713515,1.2831305857872097e-16
5e-09,0.03,45.43905066107897,7.335414341976408e-17
5e-09,0.03,54.5009408174232,4.4606744762459184e-17
5e-09,0.03,65.37003979549537,2.597803943840261e-17
5e-09,0.03,78.40675846642554,1.6211386541986288e-17
5e-09,0.03,94.04338428498275,9.068270364505103e-18
5e-09,0.03,112.79841560546205,5.494806802796892e-18
5e-09,0.03,135.29375468396742,3.109481470097092e-18
5e-09,0.03,162.27532947368118,1.832530792453257e-18
5e-09,0.03,194.63782801581382,1.0231792093254092e-18
5e-09,0.03,233.45436559941044,6.003581324285095e-19
5e-09,0.03,280.0120684299615,3.174037505045665e-19
5e-09,0.03,335.85475373360737,1.7267439693852676e-19
5e-09,0.03,402.8341215360003,8.940230283160676e-20
5e-09,0.03,483.1711555954168,4.659350493720473e-20
5e-09,0.03,579.5297694973116,2.277037755241688e-20
5e-09,0.03,695.1051399575583,1.114848088846703e-20
5e-09,0.03,833.7296563980192,4.8099581055541736e-21
5e-09,0.03,1000.0,1.9771786044175037e-21
5e-09,0.04,0.13497,1.9852737802937324e-12
5e-09,0.04,0.16188700853357427,1.5780221021910162e-12
5e-09,0.04,0.19417206439912238,1.0962688501376295e-12
5e-09,0.04,0.23289571494674718,9.19823963607867e-13
5e-09,0.04,0.27934200632004846,7.122780723803014e-13
5e-09,0.04,0.33505106142786867,6.057449406826532e-13
5e-09,0.04,0.401870149222468,4.811390901985297e-13
5e-09,0.04,0.4820149387016851,4.0831187970134036e-13
5e-09,0.04,0.578142968770171,1.3692509415212456e-12
5e-09,0.04,0.6934417701631669,1.0667647095342108e-12
5e-09,0.04,0.8317345614873042,8.945693406845408e-13
5e-09,0.04,0.9976070241769568,6.77245932579266e-13
5e-09,0.04,1.1965593601251292,4.817359989452533e-13
5e-09,0.04,1.4351886741016888,3.608433651046583e-13
5e-09,0.04,1.721407728618132,2.481944870910609e-13
5e-09,0.04,2.064707324980101,1.7719462432449527e-13
5e-09,0.04,2.4764710108793575,1.1734949590646855e-13
5e-09,0.04,2.9703525499842622,7.79777775171388e-14
